date,daily_pnl,daily_volume_usd,sentiment_value
2024-03-28,227.85100799999998,35323.72,80.0
2024-03-29,883.097404,86914.37,79.0
2024-03-30,1100.57514,101103.92,75.0
2024-03-31,912.786145,39912.96,75.0
2024-04-01,2507.963406,339470.47,79.0
2024-04-02,883.760812,239664.50999999998,79.0
2024-04-03,126.7884,16887.57,71.0
2024-04-04,0.0,95987.73,70.0
2024-04-05,10706.484306,503791.8,79.0
2024-04-06,236.33513399999998,68223.67,75.0
2024-04-07,0.0,49988.14,78.0
2024-04-08,1218.4267,211940.64,76.0
2024-04-09,0.0,57063.840000000004,80.0
2024-04-10,5207.443414,351735.97,78.0
2024-04-11,389.743164,76400.96,76.0
2024-04-12,-592.6458390000001,442088.59,79.0
2024-04-13,6621.451755,486411.25,72.0
2024-04-14,-36104.012520000004,659162.17,72.0
2024-04-15,3774.08872,291111.19,74.0
2024-04-16,2467.702221,181907.17,65.0
2024-04-17,2441.4683999999997,97562.99,67.0
2024-04-19,1946.4454620000001,337257.92000000004,66.0
2024-04-20,0.0,60733.24,66.0
2024-04-22,0.0,47993.61,73.0
2024-04-23,1119.536196,233054.9,71.0
2024-04-24,279.185907,141275.24,72.0
2024-04-25,0.0,120241.01,72.0
2024-04-26,0.0,4988.290000000001,70.0
2024-04-27,4281.488139,154264.47,67.0
2024-04-28,0.0,43985.6,65.0
2024-04-29,526.9338359999999,108699.01,67.0
2024-04-30,0.0,125018.75,67.0
2024-05-01,0.0,87025.45,54.0
2024-05-03,5306.017045,282682.64999999997,48.0
2024-05-04,0.0,58998.75,67.0
2024-05-05,0.916,24068.350000000002,69.0
2024-05-06,968.59038,206016.43,71.0
2024-05-07,883.537693,108717.58,68.0
2024-05-08,1.56576,65973.57,64.0
2024-05-09,1147.595856,221966.12,55.0
2024-05-10,2101.741695,156882.0,66.0
2024-05-11,251.604742,63248.95,53.0
2024-05-12,0.0,55179.56,56.0
2024-05-13,2136.853859,193118.9,57.0
2024-05-14,1150.5233050000002,145853.4,66.0
2024-05-15,948.970582,234922.57,64.0
2024-05-16,214.5898,162620.96,70.0
2024-05-18,3522.3946610000003,126303.14,73.0
2024-05-19,0.0,29998.09,72.0
2024-05-20,-74.818442,38124.75,70.0
2024-05-21,7289.397571999999,1100948.59,76.0
2024-05-22,0.0,44995.29,76.0
2024-05-23,413.347329,401850.6,76.0
2024-05-24,821.949278,50811.899999999994,74.0
2024-05-25,14.126038999999999,29991.129999999997,76.0
2024-05-26,778.6839,53976.67,75.0
2024-05-27,1129.35587,151115.72,74.0
2024-05-29,277.791953,84268.76,72.0
2024-05-30,20.951433,2838.09,73.0
2024-05-31,25.35812,3636.14,73.0
2024-06-01,91.510419,12834.62,72.0
2024-06-02,192.906947,29464.51,73.0
2024-06-03,562.808208,21466.86,73.0
2024-06-04,52.211438,24243.41,73.0
2024-06-05,56.055506,25350.77,75.0
2024-06-06,274.173187,137557.76,78.0
2024-06-07,8902.467416,1098588.76,77.0
2024-06-08,129.13883900000002,97351.88,72.0
2024-06-09,0.0,22410.22,75.0
2024-06-10,31.266804999999998,46587.93,72.0
2024-06-11,4320.631811,373279.92,74.0
2024-06-12,-21886.531493,193407.96,72.0
2024-06-13,6632.757115,132577.22,70.0
2024-06-14,10258.592609,139868.66,74.0
2024-06-15,3369.958346,718350.25,74.0
2024-06-16,0.0,25235.079999999998,71.0
2024-06-17,10599.502375,368380.12,71.0
2024-06-18,282.57636,263314.79,74.0
2024-06-19,4887.656944,417071.12,64.0
2024-06-20,57478.456026,207990.8,60.0
2024-06-21,773.5582039999999,176264.49,63.0
2024-06-22,756.876565,169594.27000000002,53.0
2024-06-23,0.0,1792.12,55.0
2024-06-24,0.0,403002.8,51.0
2024-06-25,4869.353105,103099.08,30.0
2024-06-26,4197.732182,365190.66000000003,46.0
2024-06-27,0.0,130486.95,40.0
2024-06-29,6150.326145,280095.11,30.0
2024-06-30,0.0,30520.69,47.0
2024-07-01,5065.839308,362670.14999999997,53.0
2024-07-02,2421.253116,33347.47,51.0
2024-07-03,1118.387284,179600.66,50.0
2024-07-04,0.0,430568.01,44.0
2024-07-05,0.0,272289.89,29.0
2024-07-06,108.87217799999999,2490.17,26.0
2024-07-07,61.428942,498.75,29.0
2024-07-08,0.0,497.64,28.0
2024-07-09,648.984412,2736.45,27.0
2024-07-10,11977.734907,687900.21,28.0
2024-07-11,1876.812082,169887.02,29.0
2024-07-12,1412.314654,89582.97,25.0
2024-07-13,2913.617837,139189.19,25.0
2024-07-14,0.0,84001.13,33.0
2024-07-15,-1.0,198344.85,52.0
2024-07-16,0.0,144000.57,65.0
2024-07-17,1859.269477,626005.53,69.0
2024-07-18,3803.884311,649704.85,61.0
2024-07-19,2155.891114,150269.42,60.0
2024-07-20,2299.169566,244362.21,74.0
2024-07-21,-2960.716887,234307.46,74.0
2024-07-22,1517.119876,304213.8,70.0
2024-07-23,89890.302206,358526.54,71.0
2024-07-24,625.561479,69207.93,69.0
2024-07-25,916.7382600000001,528555.31,68.0
2024-07-26,2766.513113,548587.65,68.0
2024-07-27,6400.623656,905199.75,72.0
2024-07-28,587.29903,43254.68,71.0
2024-07-29,330.80445399999996,327199.14,74.0
2024-07-30,0.0,36006.47,67.0
2024-07-31,765.690884,84506.54,61.0
2024-08-01,167.080017,227774.53,52.0
2024-08-02,782.3681909999999,396320.37,57.0
2024-08-03,464.1897,290532.86,37.0
2024-08-04,-122672.000883,1207744.07,34.0
2024-08-05,-13013.665169,420495.4,26.0
2024-08-06,267.318048,61478.38,17.0
2024-08-07,188.789255,2492.77,29.0
2024-08-08,-40.712216999999995,16299.35,20.0
2024-08-09,18082.071276,503204.86,48.0
2024-08-10,0.0,11339.29,40.0
2024-08-11,847.7766200000001,44230.21,39.0
2024-08-12,858.6705000000001,54167.32,25.0
2024-08-13,212.08102,20797.87,31.0
2024-08-14,2168.9015130000003,66710.03,30.0
2024-08-15,0.0,1522.3700000000001,29.0
2024-08-16,825.230544,166382.84,27.0
2024-08-17,-288.283113,30248.96,25.0
2024-08-18,307.201888,62804.48,31.0
2024-08-19,339.69958299999996,100315.03,28.0
2024-08-20,192.602844,49914.8,30.0
2024-08-21,656.200925,104990.41,26.0
2024-08-23,1005.30527,63509.56,34.0
2024-08-24,0.0,34999.67,56.0
2024-08-25,0.0,21950.28,54.0
2024-08-26,231.236918,92611.27,55.0
2024-08-27,0.0,70250.16,48.0
2024-08-28,1333.359645,71160.06999999999,30.0
2024-08-29,0.0,9995.85,29.0
2024-08-30,256.464,37233.24,34.0
2024-08-31,10.882801,107507.43000000001,29.0
2024-09-01,137.433093,12359.68,26.0
2024-09-02,0.0,30000.42,26.0
2024-09-04,1065.785132,131480.97,27.0
2024-09-05,0.0,0.84,29.0
2024-09-06,-1104.856765,39047.1,22.0
2024-09-08,0.0,0.11,29.0
2024-09-09,0.0,4014.4300000000003,26.0
2024-09-10,-219.729659,2547.28,33.0
2024-09-11,0.0,0.54,37.0
2024-09-14,0.0,1014.8000000000001,50.0
2024-09-18,-878.684794,13633.5,45.0
2024-09-19,0.0,1521.8700000000001,49.0
2024-09-20,9585.03428,332873.38,54.0
2024-09-21,36165.56933,165648.12,54.0
2024-09-22,0.0,19999.739999999998,52.0
2024-09-23,334.760796,40334.29,50.0
2024-09-24,0.0,7118.63,54.0
2024-09-25,0.0,52754.130000000005,59.0
2024-09-26,439.812513,113711.93000000001,50.0
2024-09-27,0.0,126097.04,61.0
2024-09-28,0.0,29199.21,64.0
2024-09-30,2710.626288,214669.85,61.0
2024-10-01,0.0,139954.32,50.0
2024-10-02,0.0,99954.34,42.0
2024-10-03,100.375782,132935.69,37.0
2024-10-04,0.0,0.34,41.0
2024-10-05,5767.161892,605605.74,49.0
2024-10-06,130.487079,300130.56,50.0
2024-10-07,0.0,219984.65,50.0
2024-10-08,5396.546638,434584.13,49.0
2024-10-09,396.06272,220399.93,49.0
2024-10-10,0.0,300024.33999999997,39.0
2024-10-11,8885.327477,488904.19,32.0
2024-10-12,541.55471,159713.4,49.0
2024-10-13,0.0,60002.42,50.0
2024-10-14,1913.61958,61916.020000000004,48.0
2024-10-15,1170.2260760000001,81173.36,65.0
2024-10-16,219.480876,80229.17,73.0
2024-10-17,36.11496,140531.75,71.0
2024-10-18,333.219141,120331.43000000001,73.0
2024-10-19,0.0,99996.86,72.0
2024-10-20,389.155797,176447.86000000002,73.0
2024-10-21,2464.915564,324117.99,72.0
2024-10-22,0.0,60000.36,70.0
2024-10-23,-46.489941,210006.07,71.0
2024-10-25,13235.862071,427883.18,72.0
2024-10-27,666.6623079999999,90664.41,74.0
2024-10-28,167.28016200000002,121495.25,72.0
2024-10-29,801.170876,613267.8099999999,72.0
2024-10-30,9.150023,11830.85,77.0
2024-10-31,1214.043811,896173.36,77.0
2024-11-01,1040.475736,260981.03,75.0
2024-11-02,0.0,40000.0,72.0
2024-11-03,0.0,129055.66,74.0
2024-11-04,2799.410474,451811.97,70.0
2024-11-05,678.4759280000001,200627.23,70.0
2024-11-06,2817.83723,123906.9,70.0
2024-11-07,4493.353136,111335.3,77.0
2024-11-08,-64.41354100000007,270700.44,75.0
2024-11-09,102.90894,193384.41,75.0
2024-11-10,991.114334,413636.7,78.0
2024-11-11,6749.630996,1570572.42,76.0
2024-11-12,3494.399394,1226354.52,80.0
2024-11-13,7846.402274,515336.37,84.0
2024-11-14,4563.509225,1008361.81,88.0
2024-11-15,4140.740438,1427858.42,80.0
2024-11-16,2769.521909,303296.07,86.0
2024-11-17,882.975285,1215987.57,90.0
2024-11-18,4470.815187,2084339.58,83.0
2024-11-19,2958.268991,628031.15,90.0
2024-11-20,4210.0928969999995,1999514.1199999999,83.0
2024-11-21,1692.430891,598300.62,82.0
2024-11-22,-18105.345617,1646713.62,94.0
2024-11-23,2901.531638,516245.68,93.0
2024-11-24,945.550386,664952.28,80.0
2024-11-25,5523.740734,937410.87,82.0
2024-11-26,1094.809359,1146902.44,79.0
2024-11-27,-2654.495633,1444242.53,75.0
2024-11-28,-127075.39958499999,1894225.15,77.0
2024-11-29,176844.994152,794262.91,78.0
2024-11-30,37316.69352,1732193.7,84.0
2024-12-01,40886.364494,814711.82,81.0
2024-12-02,18489.604313,585243.56,80.0
2024-12-03,23576.539285,1084666.53,76.0
2024-12-04,292891.815021,769287.65,78.0
2024-12-05,71574.11848800001,1256750.79,84.0
2024-12-06,-92624.643895,3471019.22,72.0
2024-12-07,85906.279067,451733.42,75.0
2024-12-08,15965.933436,932939.72,79.0
2024-12-09,6310.967676,983949.68,78.0
2024-12-10,39325.770231,3150424.08,78.0
2024-12-11,319051.554217,2194098.33,74.0
2024-12-12,599151.795008,4557189.87,83.0
2024-12-13,31935.901745,2880824.64,76.0
2024-12-14,167801.399244,2369561.78,83.0
2024-12-15,97525.315279,2583269.81,80.0
2024-12-16,166774.344133,2740808.97,83.0
2024-12-17,219591.305172,5233597.63,87.0
2024-12-18,13682.994673,3798887.07,81.0
2024-12-19,62744.004486000005,8241709.39,75.0
2024-12-20,254969.660039,7681274.71,74.0
2024-12-21,150022.163157,4382875.12,73.0
2024-12-22,352197.163973,3087320.22,73.0
2024-12-23,-29430.626577,6771878.26,70.0
2024-12-24,14813.780116,1767036.11,73.0
2024-12-25,756.6570469999998,347889.35,73.0
2024-12-26,60228.639722,2205242.65,79.0
2024-12-27,2672.811035,347913.0,74.0
2024-12-28,940.673623,281555.01,72.0
2024-12-29,2884.067927,344628.54,73.0
2024-12-30,9009.738137,1073865.73,65.0
2024-12-31,5445.01281,877164.62,64.0
2025-01-01,-9528.065345,282582.1,66.0
2025-01-02,8716.519087,774674.84,70.0
2025-01-03,6028.486793,771208.99,74.0
2025-01-04,2553.537968,1826029.6199999999,73.0
2025-01-05,3187.719363,451943.57,72.0
2025-01-06,6064.185393,556526.99,76.0
2025-01-07,16098.227531,1313178.1,78.0
2025-01-08,130117.090554,3177275.18,70.0
2025-01-09,46975.928902,1020733.25,69.0
2025-01-10,-10116.875552,6547449.68,50.0
2025-01-11,2269.080536,1658098.71,69.0
2025-01-12,5742.241803,2258459.17,62.0
2025-01-13,9655.429352,2936648.0100000002,61.0
2025-01-14,16069.512355,876581.97,63.0
2025-01-15,14819.5883,1801599.8900000001,70.0
2025-01-16,20807.709328,3049692.96,75.0
2025-01-17,7006.415608,1110230.46,75.0
2025-01-18,443.2330819999997,2711629.88,77.0
2025-01-19,87923.799302,9715215.3,77.0
2025-01-20,87277.239173,8287327.01,76.0
2025-01-21,11077.839421,1523729.82,76.0
2025-01-22,20524.408057,1778406.43,84.0
2025-01-23,101256.24216,3697028.66,75.0
2025-01-24,10602.779738,1611433.45,75.0
2025-01-25,-10348.016255999999,1239377.7,75.0
2025-01-26,40823.466668,1201173.66,73.0
2025-01-27,41331.765392,1508028.31,71.0
2025-01-28,17979.613973,579412.17,72.0
2025-01-29,23421.01147,1897513.41,72.0
2025-01-30,23097.471385,3014397.17,70.0
2025-01-31,35868.296773,2783411.48,76.0
2025-02-01,32300.205017,1363746.44,68.0
2025-02-02,162854.759623,5661092.29,60.0
2025-02-03,348871.326269,22592901.37,44.0
2025-02-04,416876.88812,15678409.27,72.0
