account,classification,trades,total_pnl,win_rate
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,96392.783186,59.56
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,97380.090931,75.3
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,74346.546606,42.86
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,129217.68646,33.36
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1156,-19126.158064,35.55
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,79023.471493,34.36
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,45514.323221,42.68
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,346,-71121.820704,30.35
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,0.0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,367166.216924,37.05
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,163047.664946,37.65
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,381330.49405,55.42
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,2037.258612,30.77
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,73192.077142,89.47
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,2040.359057,22.01
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,30203.401038,50.62
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,1258.120923,37.7
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509,33980.0,61.3
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,98,0.0,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,311,-58219.752261,16.08
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,453595.31817600003,31.7
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,0.0,0.0
