classification,total_trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_trade_size_usd,total_fees,profit_factor
Fear,61837,3357155.441642,54.2903996254993,0.0,42.08,7816.109930785776,92456.9486741548,6.66
Extreme Greed,39992,2715171.310673,67.89286133909282,0.0,46.49,3112.2515645629123,27030.66546515,11.02
Greed,50303,2150129.272951,42.74355948851957,0.0,38.48,5736.884375086974,63098.6919791683,3.03
Neutral,37686,1292920.67555,34.30771839807886,0.0,39.7,4782.732661465797,39374.2683038708,4.32
Extreme Fear,21400,739110.24849,34.53786207897196,0.0,37.06,5349.7318429906545,23888.6339393869,2.16
